State,Opponent,Score,Season
W,@MIA,2:3,2021
W,RBNY,3:2,2021
L,@SEA,3:0,2021
W,LAFC,2:1,2021
W,ATX,2:0,2021
L,@POR,3:0,2021
W,SJ,1:0,2021
L,SEA,1:2,2021
W,@VAN,1:2,2021
W,@SJ,1:3,2021
L,SKC,0:2,2021
W,DAL,3:1,2021
L,@VAN,2:1,2021
W,RSL,1:0,2021
L,@DAL,4:0,2021
W,POR,4:1,2021
T,@RSL,2:2,2021
T,VAN,1:1,2021
W,@MIN,0:1,2021
L,COL,1:2,2021
L,SJ,1:2,2021
T,@LAFC,3:3,2021
T,@COL,1:1,2021
T,HOU,1:1,2021
L,@MIN,3:0,2021
L,@ATX,2:0,2021
L,@RSL,2:1,2021
T,LAFC,1:1,2021
W,POR,2:1,2021
W,@HOU,0:3,2021
T,DAL,2:2,2021
L,@SKC,2:0,2021
T,@SEA,1:1,2021
T,MIN,3:3,2021
W,NYC,1:0,2022
W,@CLT,0:1,2022
L,@SEA,3:2,2022
L,ORL,0:1,2022
W,@POR,1:3,2022
