State,Opponent,Score,Season
W,ATX,2:0,2021
T,SEA,1:1,2021
T,@HOU,1:1,2021
L,@LA,2:1,2021
L,@SEA,2:0,2021
W,COL,2:1,2021
L,NYC,1:2,2021
T,HOU,1:1,2021
W,DAL,2:0,2021
L,@SKC,2:1,2021
W,@RSL,0:1,2021
W,@ATX,0:2,2021
W,RSL,2:1,2021
L,@POR,2:1,2021
T,VAN,2:2,2021
T,MIN,2:2,2021
L,SKC,1:4,2021
L,@SJ,2:1,2021
L,@ATL,1:0,2021
L,@VAN,2:1,2021
T,LA,3:3,2021
W,SKC,4:0,2021
W,RSL,3:2,2021
W,@ATX,1:2,2021
L,@POR,2:1,2021
L,@SJ,2:0,2021
L,POR,1:2,2021
T,@LA,1:1,2021
W,SJ,3:1,2021
W,@DAL,2:3,2021
T,@MIN,1:1,2021
W,SEA,3:0,2021
T,VAN,1:1,2021
L,@COL,5:2,2021
W,COL,3:0,2022
T,POR,1:1,2022
W,@MIA,0:2,2022
W,VAN,3:1,2022
W,@ORL,2:4,2022
L,@LA,2:1,2022
